Length error: 0.035272777, Total energy: -1384.0771
Length error: 0.03526658, Total energy: -1384.0823
Length error: 0.035256013, Total energy: -1384.0868
Length error: 0.035243243, Total energy: -1384.0911
Length error: 0.035227194, Total energy: -1384.095
Length error: 0.03521058, Total energy: -1384.0984
Length error: 0.0351934, Total energy: -1384.1018
Length error: 0.035173625, Total energy: -1384.1049
Length error: 0.035155207, Total energy: -1384.1082
Length error: 0.035138145, Total energy: -1384.1113
Length error: 0.03512147, Total energy: -1384.1147
Length error: 0.035108432, Total energy: -1384.1187
Length error: 0.035097852, Total energy: -1384.1226
Length error: 0.035089284, Total energy: -1384.1268
Length error: 0.035084233, Total energy: -1384.1315
Length error: 0.03508365, Total energy: -1384.1368
Length error: 0.03508444, Total energy: -1384.1422
Length error: 0.03508766, Total energy: -1384.148
Length error: 0.035095885, Total energy: -1384.154
Length error: 0.035106808, Total energy: -1384.1605
Length error: 0.03511758, Total energy: -1384.1675
Length error: 0.035131782, Total energy: -1384.1742
Length error: 0.03514661, Total energy: -1384.1812
Length error: 0.035161853, Total energy: -1384.1884
Length error: 0.035177648, Total energy: -1384.1954
